article_id,article_version,last_updated,r_ncd_id,r_ncd_version,related_num,source_article_id,url
56766,25,04/29/2025,0,1,1,56766,/data/ncd?ncdid=0&ncdver=1
57431,14,04/29/2025,0,1,1,57431,/data/ncd?ncdid=0&ncdver=1
57092,25,04/29/2025,240,1,1,57092,/data/ncd?ncdid=240&ncdver=1
57092,25,04/29/2025,226,1,2,57092,/data/ncd?ncdid=226&ncdver=1
57092,25,04/29/2025,330,1,3,57092,/data/ncd?ncdid=330&ncdver=1
56747,29,04/29/2025,177,1,1,56747,/data/ncd?ncdid=177&ncdver=1
56747,29,04/29/2025,178,1,2,56747,/data/ncd?ncdid=178&ncdver=1
57020,6,04/29/2025,0,1,1,57020,/data/ncd?ncdid=0&ncdver=1
57668,45,04/29/2025,270,1,1,57668,/data/ncd?ncdid=270&ncdver=1
58116,29,04/29/2025,98,1,1,58116,/data/ncd?ncdid=98&ncdver=1
58116,29,04/29/2025,100,1,2,58116,/data/ncd?ncdid=100&ncdver=1
58116,29,04/29/2025,251,1,3,58116,/data/ncd?ncdid=251&ncdver=1
58116,29,04/29/2025,92,1,4,58116,/data/ncd?ncdid=92&ncdver=1
58921,11,04/29/2025,0,1,1,58921,/data/ncd?ncdid=0&ncdver=1
58963,11,04/29/2025,198,1,1,58963,/data/ncd?ncdid=198&ncdver=1
59595,4,04/29/2025,0,1,1,59595,/data/ncd?ncdid=0&ncdver=1
52855,31,04/29/2025,158,1,1,52855,/data/ncd?ncdid=158&ncdver=1
52379,10,04/29/2025,0,1,1,52379,/data/ncd?ncdid=0&ncdver=1
56248,12,04/29/2025,0,1,1,56248,/data/ncd?ncdid=0&ncdver=1
56617,26,04/29/2025,0,1,1,56617,/data/ncd?ncdid=0&ncdver=1
54548,36,04/29/2025,0,1,1,54548,/data/ncd?ncdid=0&ncdver=1
56548,20,04/29/2025,0,1,1,56548,/data/ncd?ncdid=0&ncdver=1
55672,26,04/29/2025,156,1,1,55672,/data/ncd?ncdid=156&ncdver=1
55672,26,04/29/2025,55,1,2,55672,/data/ncd?ncdid=55&ncdver=1
55672,26,04/29/2025,194,1,3,55672,/data/ncd?ncdid=194&ncdver=1
56793,35,04/29/2025,372,1,1,56793,/data/ncd?ncdid=372&ncdver=1
56793,35,04/29/2025,198,1,2,56793,/data/ncd?ncdid=198&ncdver=1
56767,29,04/29/2025,0,1,1,56767,/data/ncd?ncdid=0&ncdver=1
56797,18,07/12/2025,0,1,1,56797,/data/ncd?ncdid=0&ncdver=1
56867,45,04/29/2025,198,1,1,56867,/data/ncd?ncdid=198&ncdver=1
56867,45,04/29/2025,372,1,2,56867,/data/ncd?ncdid=372&ncdver=1
58745,21,04/29/2025,0,1,1,58745,/data/ncd?ncdid=0&ncdver=1
57826,37,04/29/2025,0,1,1,57826,/data/ncd?ncdid=0&ncdver=1
52369,17,04/29/2025,0,1,1,52369,/data/ncd?ncdid=0&ncdver=1
58294,8,04/29/2025,281,1,1,58294,/data/ncd?ncdid=281&ncdver=1
58152,13,04/29/2025,176,1,1,58152,/data/ncd?ncdid=176&ncdver=1
57030,11,04/29/2025,214,1,1,57030,/data/ncd?ncdid=214&ncdver=1
57030,11,04/29/2025,215,1,2,57030,/data/ncd?ncdid=215&ncdver=1
52849,36,04/29/2025,186,1,1,52849,/data/ncd?ncdid=186&ncdver=1
52849,36,04/29/2025,177,1,2,52849,/data/ncd?ncdid=177&ncdver=1
52849,36,04/29/2025,263,1,3,52849,/data/ncd?ncdid=263&ncdver=1
52849,36,04/29/2025,272,1,4,52849,/data/ncd?ncdid=272&ncdver=1
56544,28,04/29/2025,213,1,1,56544,/data/ncd?ncdid=213&ncdver=1
56544,28,04/29/2025,9,1,2,56544,/data/ncd?ncdid=9&ncdver=1
56544,28,04/29/2025,60,1,3,56544,/data/ncd?ncdid=60&ncdver=1
56544,28,04/29/2025,239,1,4,56544,/data/ncd?ncdid=239&ncdver=1
56609,18,04/29/2025,0,1,1,56609,/data/ncd?ncdid=0&ncdver=1
52850,56,04/29/2025,62,1,1,52850,/data/ncd?ncdid=62&ncdver=1
56737,31,04/29/2025,176,1,1,56737,/data/ncd?ncdid=176&ncdver=1
56743,26,04/29/2025,0,1,1,56743,/data/ncd?ncdid=0&ncdver=1
56826,12,04/29/2025,0,1,1,56826,/data/ncd?ncdid=0&ncdver=1
59733,10,04/29/2025,176,1,1,59733,/data/ncd?ncdid=176&ncdver=1
57024,16,04/29/2025,0,1,1,57024,/data/ncd?ncdid=0&ncdver=1
59311,10,04/29/2025,1,1,1,59311,/data/ncd?ncdid=1&ncdver=1
59311,10,04/29/2025,366,1,2,59311,/data/ncd?ncdid=366&ncdver=1
56827,17,04/29/2025,0,1,1,56827,/data/ncd?ncdid=0&ncdver=1
59973,7,09/04/2025,155,1,1,59973,/data/ncd?ncdid=155&ncdver=1
59973,7,09/04/2025,266,1,2,59973,/data/ncd?ncdid=266&ncdver=1
58893,19,04/29/2025,0,1,1,58893,/data/ncd?ncdid=0&ncdver=1
52845,8,04/29/2025,0,1,1,52845,/data/ncd?ncdid=0&ncdver=1
58282,14,04/29/2025,0,1,1,58282,/data/ncd?ncdid=0&ncdver=1
58801,85,04/29/2025,333,1,1,58801,/data/ncd?ncdid=333&ncdver=1
58917,101,04/29/2025,0,1,1,58917,/data/ncd?ncdid=0&ncdver=1
