last_updated,lcd_id,lcd_version,r_article_id,r_article_version,r_contractor_id,r_lcd_id,r_lcd_version,related_num,url
02/08/2022,39044,15,,,143,39043,3,4,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=39043:2
04/16/2021,38582,11,58061,28,228,,,1,/data/article?articleid=58061&ver=28
04/16/2021,38582,11,58687,3,228,,,2,/data/article?articleid=58687&ver=3
04/16/2021,38582,11,,,228,38581,4,3,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=38581:3
08/23/2024,39658,5,59482,4,228,,,1,/data/article?articleid=59482&ver=4
08/23/2024,39658,5,59858,4,228,,,2,/data/article?articleid=59858&ver=4
08/28/2025,40000,4,54686,22,228,,,1,/data/article?articleid=54686&ver=22
06/26/2025,40000,4,59919,5,228,,,2,/data/article?articleid=59919&ver=5
06/26/2025,40000,4,60248,2,228,,,3,/data/article?articleid=60248&ver=2
06/26/2025,40000,4,,,228,39999,4,4,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=39999:3
05/14/2019,33459,46,56580,30,391,,,1,/data/article?articleid=56580&ver=30
09/20/2019,34353,35,57065,32,228,,,1,/data/article?articleid=57065&ver=32
09/13/2019,34049,36,57067,34,228,,,3,/data/article?articleid=57067&ver=34
09/18/2019,34181,28,57070,16,238,,,2,/data/article?articleid=57070&ver=16
09/18/2019,34399,30,57071,36,228,,,2,/data/article?articleid=57071&ver=36
01/08/2020,34171,18,57284,14,228,,,2,/data/article?articleid=57284&ver=14
09/13/2019,34175,32,57069,25,228,,,2,/data/article?articleid=57069&ver=25
02/26/2019,37905,18,,,228,37904,4,1,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=37904:3
03/29/2019,37905,18,56366,3,228,,,2,/data/article?articleid=56366&ver=3
08/29/2019,37905,18,56985,15,228,,,3,/data/article?articleid=56985&ver=15
06/28/2024,39585,5,59822,3,238,,,1,/data/article?articleid=59822&ver=3
06/28/2024,39585,5,59382,4,238,,,2,/data/article?articleid=59382&ver=4
08/23/2024,39650,7,59735,3,228,,,1,/data/article?articleid=59735&ver=3
08/23/2024,39650,7,59474,4,228,,,2,/data/article?articleid=59474&ver=4
06/22/2022,38839,12,56902,50,143,,,1,/data/article?articleid=56902&ver=50
06/22/2022,38839,12,58473,11,143,,,2,/data/article?articleid=58473&ver=11
06/23/2022,38839,12,59161,2,143,,,3,/data/article?articleid=59161&ver=2
06/22/2022,38839,12,,,143,35490,85,4,/data/lcd?lcdid=35490&ver=85
06/22/2022,38839,12,,,143,39243,4,5,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=39243:3
05/21/2024,38839,12,,,143,39912,4,6,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=39912:2
08/21/2019,38211,17,56910,9,143,,,1,/data/article?articleid=56910&ver=9
08/21/2019,38211,17,56917,2,143,,,2,/data/article?articleid=56917&ver=2
08/21/2019,38211,17,,,143,38210,3,3,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=38210:2
10/12/2015,36000,21,,,143,35999,3,1,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=35999:2
10/12/2015,36000,21,54694,2,143,,,2,/data/article?articleid=54694&ver=2
10/30/2019,36000,21,57596,19,143,,,3,/data/article?articleid=57596&ver=19
05/13/2024,38841,20,58477,22,143,,,1,/data/article?articleid=58477&ver=22
05/13/2024,38841,20,,,143,39795,4,2,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=39795:3
05/21/2024,38841,20,59799,2,143,,,3,/data/article?articleid=59799&ver=2
05/13/2024,39788,11,,,143,39787,3,1,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=39787:2
05/13/2024,39788,11,,,143,39054,17,2,/data/lcd?lcdid=39054&ver=17
05/21/2024,39788,11,59664,17,143,,,3,/data/article?articleid=59664&ver=17
05/21/2024,39788,11,59800,2,143,,,4,/data/article?articleid=59800&ver=2
07/13/2017,37210,21,,,143,37209,3,1,https://localcoverage.cms.gov/mcd_archive/view/lcd.aspx?lcdInfo=37209:2
