lcd_id,lcd_version,contractor_id,contractor_type_id,contractor_version,last_updated
33459,46,377,13,1,06/03/2026
33459,46,381,13,1,06/03/2026
33461,64,394,12,1,03/01/2024
33461,64,395,12,1,03/01/2024
33461,64,396,12,1,03/01/2024
33461,64,378,13,1,03/01/2024
33461,64,379,13,1,03/01/2024
33461,64,380,13,1,03/01/2024
33461,64,381,13,1,03/01/2024
33467,49,391,12,1,05/01/2023
33467,49,394,12,1,05/01/2023
33467,49,392,12,1,05/01/2023
33467,49,395,12,1,05/01/2023
33467,49,393,12,1,05/01/2023
33467,49,396,12,1,05/01/2023
33467,49,374,13,1,05/01/2023
33467,49,378,13,1,05/01/2023
33467,49,375,13,1,05/01/2023
33467,49,379,13,1,05/01/2023
33467,49,376,13,1,05/01/2023
33467,49,380,13,1,05/01/2023
33467,49,377,13,1,05/01/2023
33467,49,381,13,1,05/01/2023
33557,48,500,8,1,07/14/2026
33557,48,504,9,1,07/14/2026
33557,48,501,8,1,07/14/2026
33557,48,505,9,1,07/14/2026
33557,48,502,8,1,07/14/2026
33557,48,506,9,1,07/14/2026
33557,48,507,13,1,07/14/2026
33557,48,509,13,1,07/14/2026
33557,48,508,13,1,07/14/2026
33557,48,510,13,1,07/14/2026
33557,48,511,13,1,07/14/2026
33557,48,512,13,1,07/14/2026
33557,48,517,13,1,07/14/2026
33557,48,519,13,1,07/14/2026
33557,48,514,13,1,07/14/2026
33557,48,520,13,1,07/14/2026
33557,48,515,13,1,07/14/2026
33557,48,521,13,1,07/14/2026
33557,48,513,13,1,07/14/2026
33557,48,523,13,1,07/14/2026
33557,48,516,13,1,07/14/2026
33557,48,522,13,1,07/14/2026
33558,33,500,8,1,07/14/2026
33558,33,504,9,1,07/14/2026
33558,33,501,8,1,07/14/2026
33558,33,505,9,1,07/14/2026
33558,33,502,8,1,07/14/2026
33558,33,506,9,1,07/14/2026
33558,33,507,13,1,07/14/2026
33558,33,509,13,1,07/14/2026
33558,33,508,13,1,07/14/2026
33558,33,510,13,1,07/14/2026
33558,33,511,13,1,07/14/2026
33558,33,512,13,1,07/14/2026
33558,33,517,13,1,07/14/2026
33558,33,519,13,1,07/14/2026
33558,33,514,13,1,07/14/2026
