article_id,article_version,hcpc_modifier_group,paragraph,last_updated
57186,43,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,04/03/2026
57185,43,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,04/03/2026
57052,18,1,,04/03/2026
57041,21,1,,04/02/2026
57787,47,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,04/02/2026
57054,12,1,,04/02/2026
56670,61,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,04/02/2026
57053,22,1,,04/02/2026
54961,21,1,,04/02/2026
55937,46,1,,04/02/2026
58428,29,1,,04/02/2026
59634,10,1,,04/02/2026
59714,16,1,,04/02/2026
59624,19,1,,03/30/2026
60318,5,1,"&lt;p&gt;&lt;br &sol;&gt;It is the provider&amp;#8217;s responsibility to assess the applicability of modifiers and to select the appropriate modifier in accordance with the medical record. Any modifier submitted on a claim must be valid and effective for the date of service reported. Identified payment modifiers, those that directly affect reimbursement, must be listed first. Informational or statistical modifiers must be listed after the payment modifiers, in any order, if there are multiple modifiers applicable.&lt;&sol;p&gt;
&lt;p&gt;&lt;strong&gt;Note:&lt;&sol;strong&gt; Coding related modifiers are not limited to those identified in the table. The provider should supplement the claim with necessary modifiers when appropriate.&lt;&sol;p&gt;",03/27/2026
60315,4,1,"&lt;p&gt;&lt;br &sol;&gt;It is the provider&amp;#8217;s responsibility to assess the applicability of modifiers and to select the appropriate modifier in accordance with the medical record. Any modifier submitted on a claim must be valid and effective for the date of service reported. Identified payment modifiers, those that directly affect reimbursement, must be listed first. Informational or statistical modifiers must be listed after the payment modifiers, in any order, if there are multiple modifiers applicable.&lt;&sol;p&gt;
&lt;p&gt;&lt;strong&gt;Note:&lt;&sol;strong&gt; Coding related modifiers are not limited to those identified in the table. The provider should supplement the claim with necessary modifiers when appropriate.&lt;&sol;p&gt;",03/27/2026
60250,8,1,,03/26/2026
56467,14,1,,03/25/2026
56465,16,1,,03/25/2026
57926,25,1,,03/25/2026
57079,15,1,,03/24/2026
57598,11,1,,03/20/2026
57591,25,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,03/20/2026
58223,22,1,,03/18/2026
57050,13,1,,03/16/2026
56594,14,1,,03/16/2026
59154,13,1,,03/16/2026
58828,15,1,,03/13/2026
52725,38,1,,03/12/2026
59507,6,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,03/09/2026
59401,5,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,03/09/2026
57433,14,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,03/09/2026
59515,5,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,03/09/2026
57420,15,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,03/09/2026
57622,17,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,03/09/2026
58578,12,1,,03/09/2026
58434,34,1,,03/06/2026
57905,28,1,&lt;p&gt;N&sol;A&lt;&sol;p&gt;,03/05/2026
56696,43,1,,03/05/2026
53046,22,1,,03/05/2026
54662,14,1,,03/05/2026
